Compound	Class	nring	nrot	ndonr	naccr	dis1	dis2	dis3	0c	1c	2c	3cP	3cC	4cPC	3cCH	4cCH	5cCH	6cCH	0cv	1cv	2cv	3cvP	3cvC	4cvPC	3cvCH	4cvCH	5cvCH	6cvCH	nhyd	nhal	nhet	nhev	ncof	ncocl	ncoi	ncarb	nphos	nsulph	noxy	nnitro	1k	2k	3k	1ka	2ka	3ka	phi	Shev	Scar	Shet	Shal	S(1)	S(2)	S(3)	S(4)	S(5)	S(6)	S(7)	S(8)	S(9)	S(10)	S(11)	S(12)	S(13)	S(14)	S(15)	S(16)	S(17)	S(18)	S(19)	S(20)	S(21)	S(22)	S(24)	S(25)	S(26)	S(27)	S(28)	S(29)	S(30)	S(31)	S(32)	S(33)	S(34)	S(35)	S(36)	S(37)	S(38)	S(39)	S(40)	S(41)	S(42)	S(43)	S(51)	S(54)	S(55)	S(56)	S(57)	S(60)	S(80)	Wmol	Vmc	pi	ea	eb	q+	q-	m	h	SN	IP	A	mcp	cen	w	AS	VS	MS	PSA	Sapc	Sanc	Sapcw	Sancw	Svpc	Svnc	Svpcw	Svncw
Adenosine_phosphate	1	3	2	4	7	10.591	14.8414	19.4264	13.5685	9.1302	8.2632	7.7585	1.3316	3.9846	0	0	0.1748	0.068	9.7873	5.6864	4.3118	3.1784	0.5742	1.2555	0	0	0.0742	0.0144	13	0	9	19	0	0	0	10	0	0	4	5	13.9592	5.4131	2.2756	12.2354	4.3842	1.7476	2.8233	52.3333	-0.8152	53.1485	0	88.3212	7.0607	0	0	0	0	0	0	-0.3913	0.051	0	-27.3788	0	0	0	0	0	-0.3904	0	1.3989	1.2749	-4.0968	0	0	0.9982	0	0	0	5.664	0	0	0	4.0508	7.8415	0	1.4553	0	28.7376	0	5.3992	0	0	0	0	0	0	0	0	0	267.2438	1.2693	0.1535	0.1234	0.1312	0.2534	0.3912	1.9791	4.2869	0.2333	8.7016	0.1278	-4.4147	4.4147	41.7743	442.4762	258.4933	231.0613	125.8965	310.3528	132.1234	54.7794	34.0774	144.742	113.7513	22.0637	25.822
Ajmaline	1	3	5	2	2	12.8132	15.0056	21.0449	17.3196	11.558	10.132	9.2214	1.1515	2.9553	0.2357	0	0.068	0.0833	14.3384	8.5684	6.7515	5.3126	0.66	1.4415	0.1491	0	0.0323	0.0278	26	0	4	24	0	0	0	20	0	0	2	2	18.7811	7.7091	3.36	16.2067	6.0916	2.5041	4.1135	53.0833	28.4887	24.5946	0	63.6705	0	0	0	0	0	-5.7407	-1.968	-7.6932	0.5166	0	-0.9853	2.6261	0	0	9.6467	0	3.6141	0	2.4315	8.118	0	2.9512	-0.4847	2.2118	0	0	0	0	0	0	0	0	0	0	4.0304	0	20.5643	0	0	0	0	0	0	0	0	0	0	0	326.4376	0.9939	0.396	0.1201	0.1172	0.2069	0.3748	3.3112	3.4241	0.292	7.2991	0.4509	-3.875	3.875	25.7071	503.5574	324.0002	279.2764	44.6253	405.4215	98.1359	42.0829	18.5727	197.4206	126.5796	19.6769	20.0297
Amantadine	1	3	0	1	0	5.8637	8.8574	12.5819	7.4747	5.2349	5.7282	4.3444	0.6124	1.0133	0	0	0	0.2448	7.052	5.0236	5.2799	4.0856	0.6124	1.0133	0	0	0	0.2448	17	0	1	11	0	0	0	10	0	0	0	1	6.5089	1.8367	0.8779	6.4732	1.8201	0.8683	1.0711	18.25	11.9292	6.3208	0	0	0	0	7.5633	0	0	0	0	0	0	0	-2.5633	0	0	0	0	0	8.5698	0	0	0	3.059	0	0	0	0	0.3003	6.3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.251	0.6694	0.1699	0.1584	0.1409	0.1396	0.3378	1.4123	6.5251	0.1533	9.6746	-3.3756	-3.1495	3.1495	32.3622	317.2319	182.9246	156.2562	24.9364	300.4212	16.8106	27.3447	4.5902	132.3744	50.5501	11.8613	8.6012
Amiodarone	1	3	11	0	3	15.7426	23.7626	33.1035	22.3801	14.9939	12.7462	11.0067	1.7513	4.6964	0	0	0.0786	0.1389	22.6567	13.0462	9.7978	7.0642	1.3412	2.7466	0	0	0.0255	0.0486	29	2	6	31	0	0	2	25	0	0	3	1	25.6198	12.4593	6.3209	24.825	11.8789	5.9567	9.5127	63.74	31.1228	32.6172	4.5377	0	0	0	0	0	0	0	0	0	6.0145	0	-0.3535	-0.0956	0	0	6.4636	0	6.3736	0	0	11.6755	0	0	0.0153	4.9273	1.6675	0	0	0	0	0	0	0	0	2.3328	0	0	0	13.588	6.0878	6.0709	0	0	0	0	0	0	0	4.5377	645.318	2.5884	0.1493	0.1179	0.1351	0.153	0.26	3.3916	4.2092	0.2376	9.0901	0.6716	-4.8809	4.8809	50.1385	753.8682	501.8337	429.5163	37.4653	604.6638	149.2044	63.4188	22.7212	310.3431	191.4906	34.4706	28.6573
Aprindine	1	3	8	0	0	13.0883	20.7281	26.776	16.7778	11.8132	9.7115	8.4429	1.0069	2.7896	0	0	0.0962	0.1854	15.1177	9.4226	6.7402	5.3259	0.6572	1.6917	0	0	0.0722	0.0599	30	0	2	24	0	0	0	22	0	0	0	2	18.7811	9.6298	5.0193	17.037	8.3431	4.1979	5.9226	42.8333	37.6706	5.1628	0	0	0	0	0	0	0	0	0	0	7.1126	0	-1.1994	0	0	0	4.5121	0	8.207	0	0	19.9138	0.5986	0	0	4.4391	0	0	0	0	0	0	0	0	0	2.5204	2.6424	0	0	0	0	0	0	0	0	0	0	0	0	0	322.4924	1.812	0.1538	0.1289	0.1323	0.1379	0.4011	1.3461	4.621	0.2164	8.8167	-0.4253	-4.1957	4.1957	40.6739	601.9463	385.3027	335.8058	8.7572	491.3428	110.6035	51.6106	15.058	231.0419	154.2608	22.6618	22.3812
Astemizole	1	5	8	1	3	19.9389	27.2402	37.5417	23.3299	16.6742	14.7244	12.599	1.9148	4.3241	0	0	0.0786	0.3333	19.5832	11.9931	8.9951	6.7051	0.9273	1.8701	0	0	0.025	0.1479	31	1	6	34	1	0	0	28	0	0	1	4	25.6413	12.497	6.8651	22.5662	10.3663	5.4832	6.8802	70.5	38.5186	31.9814	13.38	0	5.3146	0	0	0	0	0	0	0	10.2226	0	-2.1377	-0.3966	0	0	1.6994	0	7.1015	0	0	23.2803	0.3898	0	0.8909	5.1567	0	0	0	0	0	0	0	8.5983	0	2.5455	2.207	0	0	0	5.2505	0	13.38	0	0	0	0	0	0	0	458.5775	2.3907	0.1732	0.1223	0.131	0.2468	0.3981	2.29	4.2242	0.2367	8.6833	0.2348	-4.459	4.459	41.9953	768.2983	499.524	434.9362	41.6096	539.8474	228.4509	61.5587	29.3291	267.3925	232.1315	29.6804	30.4719
Atropine	1	3	5	1	3	12.8731	16.7895	23.8245	14.8196	10.1859	8.9772	7.8303	1.2684	3.3013	0	0	0.0962	0.1576	12.4426	7.7696	6.2266	5.0068	0.7715	1.9155	0	0	0.0745	0.0751	23	0	4	21	0	0	0	17	0	0	3	1	15.879	7.0508	3.5046	14.6967	6.2601	3.0255	4.3811	46.6667	16.6516	30.0151	0	29.8253	0	0	0	0	0	0	0	0	1.3648	0	-6.3683	-1.9714	0	0	2.1675	0	4.0499	0	0	9.376	0.5316	0	-0.2938	0.8203	0	0	0	0	0	0	0	0	0	2.4217	0	0	9.5287	12.3624	5.7023	0	0	0	0	0	0	0	0	0	289.3736	1.421	0.1579	0.1274	0.1361	0.2096	0.3589	1.6621	4.7301	0.2114	9.1881	-0.2721	-4.458	4.458	47.0026	521.5439	316.4089	279.3612	46.8828	413.1222	108.4217	47.1154	23.1264	185.7327	130.6762	20.9719	23.0034
Azimilide	1	4	8	0	4	21.9543	24.9742	40.7279	22.5014	15.4912	13.9429	11.6143	2.0498	4.5556	0	0	0.1964	0.1667	19.0001	11.2975	8.6275	6.0716	1.0361	1.835	0	0	0.0694	0.0778	28	1	9	32	0	1	0	23	0	0	3	5	25.1037	12.1094	7.0142	22.666	10.3976	5.847	7.3647	72.1111	24.1257	47.9854	5.9199	0	0	0	0	0	0	0	0	0	5.3936	0	-0.1922	-0.0777	1.1265	0	2.1395	0	7.4779	0	1.4598	10.9183	0	0	-0.3793	2.7242	0	0	0	0	0	0	0	4.1735	0	4.7641	1.1878	0	0	24.8804	0	5.7655	0	0	0	0	0	0	5.9199	0	457.9589	2.4437	0.1679	0.1136	0.1346	0.1643	0.3819	3.9668	3.969	0.2519	9.0468	1.1087	-5.0778	5.0778	51.1686	788.2456	484.7765	433.1491	67.6412	527.4981	260.7475	58.1361	37.476	254.6242	230.1523	28.8633	30.1496
Azithromycin	1	3	7	5	12	16.3232	22.1878	36.1594	39.6705	23.9087	23.9412	19.6342	3.6261	9.188	0	0	0	0.1037	34.184	19.1425	17.1651	12.2076	2.2826	4.741	0	0	0	0.0599	72	0	14	52	0	0	0	38	0	0	12	2	46.3827	18.5078	10.6996	45.5387	17.9516	10.3229	15.721	122.9167	9.2076	113.7091	0	187.2725	0	0	0	0	0	0	0	0	0	0	-70.7116	0	0	0	24.7126	0	1.6234	0	0	0	-12.0666	0	-0.6875	0	0	-4.3743	0	0	0	0	0	0	0	3.8467	0	0	58.1369	14.1976	37.5278	0	0	0	0	0	0	0	0	0	748.993	3.7714	0.1362	0.1338	0.1354	0.2181	0.3468	3.5215	5.0199	0.1992	9.1253	-0.9144	-4.1055	4.1055	42.3046	955.9985	834.2679	681.8797	161.1802	834.1255	121.873	79.809	29.7112	563.6111	270.6568	54.4408	61.7646
Bepridil	1	3	10	0	1	13.0211	20.4098	28.6202	18.8991	13.2203	11.263	8.7057	1.279	2.5159	0	0	0.1443	0.2041	16.8877	10.3784	8.0299	5.1872	0.9706	1.4546	0	0	0.1118	0.0642	34	0	3	27	0	0	0	24	0	0	1	2	21.7027	11.87	7.3956	19.9088	10.4828	6.369	7.7296	49.5	38.2745	11.2255	0	0	0	0	0	0	0	0	0	0	7.6173	0	-0.8833	-0.31	0	0	4.4376	0	8.601	0	0	21.5758	1.0222	0	0	2.638	0	0	0	0	0	0	0	0	0	2.6262	2.511	0	0	0	6.0883	0	0	0	0	0	0	0	0	0	366.5454	2.0926	0.1522	0.1281	0.1264	0.1435	0.3565	1.1638	4.2859	0.2333	8.2211	-0.3508	-3.9351	3.9351	33.1843	657.0678	440.1828	370.719	16.1188	536.7572	120.3106	53.5452	17.3489	268.1138	172.0691	25.3586	25.0201
