data_128.txt:
sort:
Column	Desc	ACC	MCC	SP	SE	Score
28	5cvCH	90.86	0.734	90.91	90.63	8313.98738
75	S(24)	90.86	0.734	90.91	90.63	8313.98738
76	S(25)	90.86	0.734	90.91	90.63	8313.98738
107	q+	90.86	0.734	90.91	90.63	8313.98738
89	S(38)	90.86	0.734	91.19	89.39	8270.02226
93	S(42)	90.86	0.734	91.19	89.39	8270.02226
124	Sancw	90.86	0.734	91.19	89.39	8270.02226
19	6cCH	90.86	0.734	91.19	89.39	8270.02226
23	3cvP	90.58	0.725	90.88	89.23	8222.471775
84	S(33)	90.58	0.725	90.88	89.23	8222.471775
114	mcp	90.58	0.725	90.88	89.23	8222.471775
102	Wmol	90.58	0.725	90.88	89.23	8222.471775
97	S(55)	90.58	0.725	90.88	89.23	8222.471775
112	IP	90.58	0.725	90.88	89.23	8222.471775
3	nring	90.58	0.725	90.88	89.23	8222.471775
48	phi	90.58	0.725	90.88	89.23	8222.471775
52	Shal	90.58	0.725	90.88	89.23	8222.471775
55	S(3)	90.58	0.725	90.88	89.23	8222.471775
18	5cCH	90.58	0.725	90.88	89.23	8222.471775
127	Svpcw	90.58	0.725	90.88	89.23	8222.471775
91	S(40)	90.58	0.725	90.88	89.23	8222.471775
117	AS	90.58	0.725	90.88	89.23	8222.471775
126	Svnc	90.58	0.725	90.88	89.23	8222.471775
123	Sapcw	90.58	0.725	90.88	89.23	8222.471775
46	2ka	90.58	0.725	90.88	89.23	8222.471775
7	dis1	90.58	0.725	90.88	89.23	8222.471775
6	naccr	90.58	0.725	90.88	89.23	8222.471775
122	Sanc	90.58	0.725	90.88	89.23	8222.471775
120	PSA	90.58	0.725	90.88	89.23	8222.471775
15	4cPC	90.58	0.725	90.88	89.23	8222.471775
13	3cP	90.58	0.725	90.88	89.23	8222.471775
40	noxy	90.58	0.725	90.88	89.23	8222.471775
118	VS	90.58	0.725	90.88	89.23	8222.471775
101	S(80)	90.58	0.725	90.88	89.23	8222.471775
80	S(29)	90.58	0.725	90.88	89.23	8222.471775
90	S(39)	90.58	0.725	90.88	89.23	8222.471775
60	S(8)	90.58	0.725	90.88	89.23	8222.471775
33	nhev	90.58	0.725	90.88	89.23	8222.471775
43	2k	90.58	0.725	90.88	89.23	8222.471775
45	1ka	90.58	0.725	90.88	89.23	8222.471775
128	Svncw	90.58	0.725	90.88	89.23	8222.471775
21	1cv	90.58	0.725	90.88	89.23	8222.471775
98	S(56)	90.58	0.725	90.88	89.23	8222.471775
64	S(12)	90.58	0.725	90.88	89.23	8222.471775
74	S(22)	90.58	0.725	90.88	89.23	8222.471775
106	eb	90.58	0.725	90.88	89.23	8222.471775
125	Svpc	90.58	0.725	90.88	89.23	8222.471775
121	Sapc	90.58	0.725	90.88	89.23	8222.471775
111	SN	90.58	0.725	90.88	89.23	8222.471775
85	S(34)	90.58	0.725	90.88	89.23	8222.471775
110	h	90.58	0.725	90.88	89.23	8222.471775
17	4cCH	90.58	0.725	90.88	89.23	8222.471775
83	S(32)	90.58	0.725	90.88	89.23	8222.471775
38	nphos	90.58	0.725	90.88	89.23	8222.471775
59	S(7)	90.58	0.725	90.88	89.23	8222.471775
69	S(17)	90.58	0.725	90.88	89.23	8222.471775
37	ncarb	90.58	0.725	90.88	89.23	8222.471775
8	dis2	90.58	0.725	90.88	89.23	8222.471775
51	Shet	90.58	0.725	90.88	89.23	8222.471775
32	nhet	90.58	0.725	90.88	89.23	8222.471775
79	S(28)	90.58	0.725	90.88	89.23	8222.471775
63	S(11)	90.58	0.725	90.88	89.23	8222.471775
20	0cv	90.58	0.725	90.88	89.23	8222.471775
115	cen	90.58	0.725	90.88	89.23	8222.471775
30	nhyd	90.58	0.725	90.88	89.23	8222.471775
70	S(18)	90.58	0.725	90.88	89.23	8222.471775
58	S(6)	90.58	0.725	90.88	89.23	8222.471775
36	ncoi	90.58	0.725	90.88	89.23	8222.471775
12	2c	90.58	0.725	90.88	89.23	8222.471775
49	Shev	90.58	0.725	90.88	89.23	8222.471775
113	A	90.58	0.725	90.88	89.23	8222.471775
71	S(19)	90.58	0.725	90.88	89.23	8222.471775
10	0c	90.58	0.725	90.88	89.23	8222.471775
95	S(51)	90.58	0.725	90.88	89.23	8222.471775
56	S(4)	90.58	0.725	90.88	89.23	8222.471775
9	dis3	90.58	0.725	90.88	89.23	8222.471775
39	nsulph	90.58	0.725	90.88	89.23	8222.471775
41	nnitro	90.58	0.725	90.88	89.23	8222.471775
108	q-	90.58	0.725	90.88	89.23	8222.471775
67	S(15)	90.58	0.725	90.88	89.23	8222.471775
22	2cv	90.58	0.725	90.88	89.23	8222.471775
105	ea	90.58	0.725	90.88	89.23	8222.471775
119	MS	90.58	0.725	90.88	89.23	8222.471775
103	Vmc	90.58	0.725	90.88	89.23	8222.471775
31	nhal	90.58	0.725	90.88	89.23	8222.471775
5	ndonr	90.58	0.725	90.88	89.23	8222.471775
65	S(13)	90.58	0.725	90.88	89.23	8222.471775
61	S(9)	90.58	0.725	90.88	89.23	8222.471775
11	1c	90.58	0.725	90.88	89.23	8222.471775
42	1k	90.58	0.725	90.88	89.23	8222.471775
53	S(1)	90.58	0.725	90.88	89.23	8222.471775
92	S(41)	90.58	0.725	90.88	89.23	8222.471775
72	S(20)	90.30	0.717	90.30	90.32	8219.74527
44	3k	90.30	0.717	90.57	89.06	8174.691855
25	4cvPC	90.30	0.717	90.57	89.06	8174.691855
100	S(60)	90.30	0.717	90.57	89.06	8174.691855
4	nrot	90.30	0.717	90.57	89.06	8174.691855
78	S(27)	90.30	0.717	90.57	89.06	8174.691855
116	w	90.30	0.717	90.57	89.06	8174.691855
104	pi	90.30	0.717	90.57	89.06	8174.691855
34	ncof	90.30	0.717	90.57	89.06	8174.691855
24	3cvC	90.30	0.717	90.57	89.06	8174.691855
50	Scar	90.30	0.717	90.57	89.06	8174.691855
99	S(57)	90.30	0.717	90.57	89.06	8174.691855
14	3cC	90.30	0.717	90.57	89.06	8174.691855
81	S(30)	90.30	0.717	90.57	89.06	8174.691855
66	S(14)	90.30	0.717	90.57	89.06	8174.691855
29	6cvCH	90.30	0.717	90.57	89.06	8174.691855
77	S(26)	90.30	0.717	90.57	89.06	8174.691855
47	3ka	90.30	0.717	90.57	89.06	8174.691855
54	S(2)	90.30	0.717	90.57	89.06	8174.691855
35	ncocl	90.30	0.717	90.57	89.06	8174.691855
62	S(10)	90.30	0.717	90.57	89.06	8174.691855
94	S(43)	90.30	0.717	90.57	89.06	8174.691855
96	S(54)	90.30	0.717	90.57	89.06	8174.691855
27	4cvCH	90.30	0.717	90.57	89.06	8174.691855
86	S(35)	90.03	0.708	90.00	90.16	8173.67904
82	S(31)	90.03	0.708	90.00	90.16	8173.67904
68	S(16)	90.03	0.708	90.27	88.89	8128.31004
16	3cCH	90.03	0.708	90.27	88.89	8128.31004
88	S(37)	90.03	0.708	90.27	88.89	8128.31004
87	S(36)	88.64	0.666	87.78	94.00	8117.02234
109	m	90.03	0.708	90.54	87.69	8086.11687
57	S(5)	89.75	0.699	89.97	88.71	8080.71366
73	S(21)	89.75	0.699	89.97	88.71	8080.71366
26	3cvCH	89.75	0.699	89.97	88.71	8080.71366
drop:
28	5cvCH
75	S(24)
76	S(25)
data_125.txt:
sort:
Column	Desc	ACC	MCC	SP	SE	Score
64	S(13)	91.14	0.743	90.94	92.06	8407.2945
72	S(21)	90.86	0.734	90.64	91.94	8361.61626
115	VS	91.14	0.742	91.22	90.77	8360.80259
108	SN	91.14	0.742	91.22	90.77	8360.80259
21	1cv	91.14	0.742	91.22	90.77	8360.80259
24	3cvC	91.14	0.742	91.22	90.77	8360.80259
68	S(17)	91.14	0.742	91.22	90.77	8360.80259
98	S(80)	91.14	0.742	91.22	90.77	8360.80259
14	3cC	91.14	0.742	91.22	90.77	8360.80259
9	dis3	91.14	0.742	91.22	90.77	8360.80259
3	nring	91.14	0.742	91.22	90.77	8360.80259
5	ndonr	91.14	0.742	91.22	90.77	8360.80259
31	nhet	91.14	0.742	91.22	90.77	8360.80259
123	Svnc	91.14	0.742	91.22	90.77	8360.80259
40	nnitro	91.14	0.742	91.22	90.77	8360.80259
74	S(26)	91.14	0.742	91.22	90.77	8360.80259
112	cen	91.14	0.742	91.22	90.77	8360.80259
62	S(11)	91.14	0.742	91.22	90.77	8360.80259
77	S(29)	91.14	0.742	91.22	90.77	8360.80259
55	S(4)	91.14	0.742	91.22	90.77	8360.80259
41	1k	91.14	0.742	91.22	90.77	8360.80259
13	3cP	91.14	0.742	91.22	90.77	8360.80259
81	S(33)	91.14	0.742	91.22	90.77	8360.80259
80	S(32)	91.14	0.742	91.22	90.77	8360.80259
100	Vmc	91.14	0.742	91.22	90.77	8360.80259
97	S(60)	91.14	0.742	91.22	90.77	8360.80259
90	S(42)	91.14	0.742	91.22	90.77	8360.80259
69	S(18)	91.14	0.742	91.22	90.77	8360.80259
32	nhev	91.14	0.742	91.22	90.77	8360.80259
95	S(56)	91.14	0.742	91.22	90.77	8360.80259
47	phi	91.14	0.742	91.22	90.77	8360.80259
46	3ka	91.14	0.742	91.22	90.77	8360.80259
75	S(27)	91.14	0.742	91.22	90.77	8360.80259
124	Svpcw	91.14	0.742	91.22	90.77	8360.80259
87	S(39)	91.14	0.742	91.22	90.77	8360.80259
34	ncocl	91.14	0.742	91.22	90.77	8360.80259
45	2ka	91.14	0.742	91.22	90.77	8360.80259
36	ncarb	91.14	0.742	91.22	90.77	8360.80259
50	Shet	91.14	0.742	91.22	90.77	8360.80259
94	S(55)	91.14	0.742	91.22	90.77	8360.80259
18	5cCH	91.14	0.742	91.22	90.77	8360.80259
58	S(7)	91.14	0.742	91.22	90.77	8360.80259
11	1c	91.14	0.742	91.22	90.77	8360.80259
60	S(9)	91.14	0.742	91.22	90.77	8360.80259
29	nhyd	91.14	0.742	91.22	90.77	8360.80259
20	0cv	91.14	0.742	91.22	90.77	8360.80259
65	S(14)	91.14	0.742	91.22	90.77	8360.80259
38	nsulph	91.14	0.742	91.22	90.77	8360.80259
